joke,how,why
在一个村里，有一个妇女生了两个孩子，一个叫地球，一个叫屁股。 一天，地球和屁股出去玩，玩着玩着，屁股不见了，妈妈去报警：“我的儿子不见了。” 警察问：“叫什么名？”“叫屁股。” 警察愣了一下，问：“他有多大？”“跟地球一样大。,⽂字游戏,另有含义
牙膏妹常常朝三暮四，一下子跟软毛牙刷哥拍拖，一下子又跟电动牙刷弟谈恋爱。 今天来了个新邻居，牙膏妹：“哇，你好高大你好有型喔~你叫什么名字~我们约会吧~” 新邻居酷酷的说：“不行哦！我是梳子。,转化,意想不到的答案
饭店里，一男子指着菜盘里一条两米多长的豆腐大吼：“你们什么耳朵！老子点的是家常豆腐！” 饭店厨师听到了，纳闷：“难道还不够长？,⽂字游戏,搞错重点或是误会情节
搞活动为凑人数，主办人员打电话向中介要人，中介的负责人电话里问：“男的要吗？” 活动负责人说：“要！” 中介负责人又问：“岁数大的要吗？” 活动负责人有些着急的说：“要、要！” 中介负责人继续问：“有点残疾的也要吗？” 活动负责人有些急了说：“要、要、要，是人都要！” 中介负责人没听清楚有些惊讶地问：“什么！死（是）人都要……,⽂字游戏,搞错重点或是误会情节
今天加班在单位食堂午餐，一人有个鸡腿，我打完饭，端着午餐经过女神的餐桌前，问她：“要鸡腿不？”女神瞟了我一眼：“不要！”于是，我夹走她盘子里的鸡腿，华丽丽滴转身走了，留下女神风中凌乱。,桥界推论,搞错重点或是误会情节
上高中那会学校要求女生第二天穿校服，到学校有活动。第二天天气不好，女生都是带的校服去学校。部分男生没穿什么衣服，觉得冷就穿上女生的校服。数学老师上课是看了说：“男生把女生的衣服都脱下来……” 全班无语接着爆笑10分钟…,⽂字游戏,另有含义
北京新机场因在武清、大兴和廊坊三地交界处，围绕：北京新机场命名，京津冀政府会议讨论产生了分歧：天津想叫武清机场，北京不同意；北京想叫大兴机场，河北不同意；河北想叫廊坊机场，北京和天津都不同意；经过三地政府友好协商，结合中国文化特点，最终三方达成一致意见，新机场命名为：武大廊机场。为安全起见，机场不设西门！,典故改写,另有含义
和朋友吃饭，点菜的时候朋友点了个加长鲫鱼。 二货媳妇突然惊呼。鲫鱼还有加长的？ 好吧，菜单上写的家常鲫鱼。 这谁媳妇啊！！！！！我不认识。,⽂字游戏,荒诞或是愚蠢的行径\话语\情况
古时候人们过年时贴年画，让他的儿子给看着，别贴歪了。他对儿子说：如果左边低，你就说高升，高升；如果右边低，你就说发财，发财，记住了吗？记住了。 这个人贴好年画，站在凳子上问儿子：怎么样？儿子瞅了一下，回答到：爹，既不高升，也不发财,讽刺,另有含义
有个男子准备结束十多年的爱情长跑，当个快乐新郎。吉日定好后，他闲来无事，翻看黄历，赫然发现这日竟是只宜入殓，他只好自嘲说：这真的叫做‘婚姻就是爱情的坟墓’,禁忌\秘密揭露,意想不到的答案
母老鼠怀疑她丈夫有外遇。 一天，她便悄悄地跟随其后。突然，丈夫一头闯进灌木丛中，不久出来一刺猬。母老鼠一把揪住刺猬：“还说没外遇，说！打这么多摩丝去勾引谁？,⽂字游戏,搞错重点或是误会情节
迂公外出喝醉了酒，双眼朦胧，冲冲撞撞地赶着路。当他路过鲁参政住宅大门时，一阵恶心反胃，“哇”地一亏待声吐了一地，腥味难闻，令人掩鼻。 门人见了大怒，喝道：“哪来的酒鬼狂徒，竟敢对着大门吐泻！” 迂公不服气，醉眼乜斜地说：“你昨唬什么？谁叫你家大门对着我的嘴巴开的！” 门人失声笑道：“大门早就这样建的，又不是今天才朝着你嘴巴建造的！” 迂公指着自己的嘴巴，说：“嘿，老子这张嘴巴，也生了好几十年了！,类比,意想不到的答案
妻子买了一把崭新的拖把回家。 对丈夫说：“今天是你的生日，我特地为你挑选了一把最好的拖把，对你在我生日的时候送我那块熨衣板表示感谢。,类比,另有含义
有个从未管过自己孩子的统计学家，在一个星期六下午妻子要外出买东西时，勉强答应照看一下四个年幼好动的孩子。当妻子回家时，他交给妻子一张纸条，上面写着：「擦眼泪11次；系鞋带15次；给每个孩子吹玩具气球各5次；每个气球的平均寿命10秒钟；警告孩子不要横穿马路26次；孩子坚持要穿马路26次；我还要再过这样的星期六0次。」,职业病描述,意想不到的答案
昨天带孩子去公园看动物。见孔雀园里有只公鸡，很诧异，正在想是什么情况，边上一对情侣，女说：“有只鸡，怎么回事？” 男说：“不懂了吧，那是怕孔雀近亲结婚。,无逻辑和矛盾,不懂装懂
校运动会，标枪比赛。 一男同学人高马大，肌肉发达，戴着护膝、护腕，手上擦了石膏粉，一看就是专业水平运动员，从旁边一女生手上拿了标枪，起势、助跑、飙……标枪像离弦的箭一样飞向前方！大家都在拭目以待……突破80米大关！肯定得冠军！ 在旁边的女生突然大声叫道：我又没有惹你！你把我的旗杆扔出去干什么,桥界推论,荒诞或是愚蠢的行径\话语\情况
一日时逢中午饭点，一同事惦记着中午只有米饭，但想吃面条。客户来办理取款业务，临走时，该同事十分体贴地说：请拿好您的面条，欢迎下次再来(应该是请拿好您的现金),无逻辑和矛盾,意外出糗
儿子：爸，您有钱吗? 父亲：我钱包里还有一块钱。 儿子：我把平常攒的一块钱给您吧。 父亲：为什么? 儿子：因为您爱随地吐痰，一块钱不够罚,讽刺,意想不到的答案
杰克，吃鱼肝油了吗？给你的7个便士一定花光了吧？ 不错，妈妈，我用两个便士买了巧克力糖，其余的5个便士我给了乔治，他代我吃了鱼肝油,禁忌\秘密揭露,搞错重点或是误会情节
大妞这天早上一进办公室开电脑，萤幕才开一下子便整个黑掉，就再也没反应了。大妞一脸茫然地问坐她隔壁的阿顺：「阿顺，我的萤幕怎么了？」阿顺虽然知道原因，却半开玩笑地说：「都是因为你今天穿得太漂亮了，电脑一见到你就都没心思工作了呢！」大妞：「……」,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
宋朝大文豪苏氏三父子在外语毕业礼上表现紧张，主考官王安石：「What are your names？」苏轼：「I am So Sick.」王安石想：「不舒服都答得这么快，便给他过关。」苏辙亦答：「I am So Cheap.」王安石又想：「都算你坦白。Pass！」苏洵：「I am Susan.」王安石疑惑道：「究竟你是男或女呀？」,⽂字游戏,意想不到的答案
一个老师正在和一群小学生上课，老师很不高兴 老师狠狠的说：请问，大家有foot吗？ 一个学生说：快跑，老师要拿斧头砍我们,⽂字游戏,搞错重点或是误会情节
一家请客，摆列水果。家主母取甘蔗食之，连声叫淡。厨司曰：娘娘想是梢（同骚）了,⽂字游戏,另有含义
嘉靖年间，有个进士新上任做推官（掌勘问刑狱的官），此公性格极为怪僻、倔犟，他曾经将贾岛诗句中推敲两字读作吹敲。 有人告诉他道：这个‘推’字读作‘颓’。 这个新任推官的进士便发怒道：这么说来，我竟做了颓官（颓唐无用的官）,⽂字游戏,另有含义
小学班级中。 问你们个我自己发明的歇后语。” “说啊，猜出来请喝饮料啊！” “来啊，恐龙向天吼，猜吧！” “恐龙无聊啊，还向天吼啊，它是吃饱了？” “不是。” “失恋了。” “你才失恋了！！！好吧，我要公布答案了，答案是夏（吓）天。” “好冷，还是个夏天啊！,⽂字游戏,意想不到的答案
暑热天气里，有个人还在裹着一条被单睡觉，直睡得大汗淋漓，痛苦不堪。 别人看了都替他难受，就问他大暑天里盖着被单睡觉，这又何苦，这人也很委屈地说：我有什么办法？若盖棉被岂不更热吗,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
一个打铁为生的老人无儿无女，只是收了三个徒弟。 老人家一天天老去，身体也出现了各种病疼，但是三个徒弟谁都不愿去照顾他。有一天，老人家把三个徒弟叫到床前对他们说:“在我百年之前，你们谁孝敬我多一点我就把我最后一个绝招教给谁。” 三个徒弟听完后纷纷对老人家问冷问热杀鸡宰羊，没过多久，老人家感觉自己就要离开人世了，于是把三个徒弟都叫到自己床前对他们说“我快走了，我那最后一个绝招我要给你们说。” 徒弟们都激动地看着老人家那无力的眼神，只听见那老人家说：“铁烧的通红了，你千万别用手拿……,桥界推论,意想不到的答案
有个人第一次在市场上卖冰棒，他不好意思叫卖，突然旁边有一个人正高声喊：「卖冰棒」，他只好喊道：「我也是。」,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
城里小姐第一次参观农场。「天啊！」她指著一头畜牲说：「那头牛为甚么没有角？」农夫一本正经解释道：「牛没有角有许多原因，有的是发生意外折断了，有的是我们锯去的，有的特别种生来不长角...不过，这头牛没有角，只有一个原因：它是一匹马。」,禁忌\秘密揭露,意外出糗
某女士：我丈夫对我爱得发狂。他在睡梦中说了许多非常甜蜜的话。不过有件可笑的事他总叫错我的名字,禁忌\秘密揭露,另有含义
"老公：咱们把家务分分工吧。 老婆：好。首先，脏活累活得男人干吧，如擦地、刷马桶、擦桌子…… 老公：这对。 老婆：男主外，女主内。和外人打交道的得你干吧，买菜、交水费、取报纸和牛奶。 老公：这……行！ 老婆：你是学理工的，我是学文科的，带电的东西得你干吧，像洗衣机、电冰箱、电饭锅、电熨斗…… 老公：行,行，那你干什么？ 老婆：别着急啊，厨房里油烟那么大，可毁皮肤了，做饭也得你干吧。 老公：你就告诉我你干什么吧。 老婆：我也有很多要干的呀。我可以陪着你、监督你、赞美你、安慰你…… 老公: …",类比,另有含义
送女朋友回家。她家门口停了一辆婚车，车上有很多气球。 女友说想要气球，当时周围没有人，我凑过去拿了一个下来。 她说不够，还想要。我又过去拿。这次想着多拿几个，免得又说不够。 开始拿第三个的时候，车门开了，车里的哥们说：“兄弟，再一再二不再三啊。给我留点，明天还得接亲！,禁忌\秘密揭露,不懂装懂
和朋友喝完酒在海边散步，都喝开心了，气氛高涨。 一哥们掏出他昨天花一百多买的强光小手电， 炫耀一番以后说：“我....我认为它防水，绝对防水，你们信不？我现在就扔海里，要是它入水后能亮，就算我赢，要是遇水瞎了，我认了！！！” 然后那手电唰一声就被他扔出去了...欢快入水...... 众人愣了三秒，继而这货老婆开口大骂：败家玩意儿，你要扔也打开再扔啊,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
早上被飞车党抢了，抢就算了，为什么抢的是煎饼果子？为什么还是骑的自行车？为什么骑车的还是个少妇？ 更可恨的是下手的还是个六七岁的小屁孩… 我实在无法想象，他妈发现他手里多了个煎饼果子后会作何感想,桥界推论,荒诞或是愚蠢的行径\话语\情况
一个县官根本不识字。每逢购买物品，都靠图画记帐，买一匹马便画一匹马；买一只碗便画一只碗。有一次，他的上司前来视察，县官却不在家。上司打开那个购物簿翻阅一下，觉得这种记帐法很可笑，便随手用红笔抹掉。 县官归来看到帐簿，恼怒他说：为什么上司衙门买了红蜡烛，也记在我的帐上,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
一次坐公交，一位漂亮MM上了车，掏出了卡来刷卡，只听刷卡机回复：滴~老人卡~！ 全车人冻住，皆而望她。 她一脸黑线说：看什么，天山童老，没见过啊？ 一大爷起身，说：来，大娘，您坐这儿,桥界推论,意想不到的答案
走在人行道上，突然一辆车像失控了一样向我开过来，我一看开车的是个女司机，急中生智大喊一声：“朝我身上撞！”惊慌失措的女司机点了点头，撞到了电线杆上。,讽刺,另有含义
有一个女人长的很抱歉，长的丑就算了还超没有口德的。一次，被安排要相亲，但是男主角迟迟未出现，这女人就等的不怎么耐烦。就开始破口大骂：「哇哩勒，竟然敢让你老娘等这么久..&%$&^$%#@！$！%」批哩啪啦的骂了一串，此时，男主角出现…是个胖子。这女人看了更是火，于是又是批哩啪啦的骂了一串，指著男主角骂著死胖子。男主角终于发飙了，拍了桌子…大声的说：「骂我胖…至少我曾经瘦过，你美过吗？」,羞辱,意想不到的答案
妻：「老板，一瓶米酒，给我老公的。」老板：「一瓶就够吗？你老公的酒量是有名的喔。」妻：「用喝可能不够，不过用砸的一瓶应该够了。」,禁忌\秘密揭露,意想不到的答案
在女友寝室里玩一女孩的手机（其实是偷看里面她火辣的自拍照）。 看着看着，忽然发现她通讯簿里有一个叫“淫魔”的人，于是问mm：哎，‘淫魔’是谁啊？ mm（很紧张）：不是谁～把手机还我啦！ 我：不说？那我打给他喽～（拨出去了） mm：快还我啦！！ 于是我的手机就响了…,羞辱,意外出糗
甲：“坐在前排那个丑八怪是谁呀？” 乙：“那是我哥哥呀。” 甲：“啊，真对不起，我没注意到你们是那么相像。,讽刺,另有含义
以自杀闻名的大楼电梯里，贴了一个告示：「如果你要跳楼──如果你要痛快一点，请按9楼如果你还想喘口气，请按8楼如果你还挣扎的话，请按7楼如果你还想留遗言，请按6楼如果你只是想残废，请按5楼如果你只是想住院，请按4楼如果你纯粹想吓人，请按3楼如果你只是兴趣的，请按2楼」,禁忌\秘密揭露,意想不到的答案
妻子：明天我生日，你送什么给我？ 丈夫：一条镶满钻石的项链。 妻子：真的？亲爱的，我不是在做梦吧？ 丈夫：是的，亲爱的，你就是在做梦,禁忌\秘密揭露,意想不到的答案
苏亚雷斯将军非常关心战士的生活。一天他跑到厨房，想亲自尝一下战士吃的饭菜。 他走近汤锅前说：给我一勺。 一个士官小心翼翼地说：但是，将军…… 闭嘴！他打断了那个士官的话，抄起勺子，一连喝了好几勺。最后他叫道：这是什么汤，简直是刷锅水！大家都愣在那儿，不知所措。 最后那个士官嗫嚅着说：对，将军，这就是刷锅水,禁忌\秘密揭露,意外出糗
一个美丽的姑娘向一位老翁求婚。 老翁：我俩年龄相差这么大，合适吗？ 姑娘：《婚姻法》没有规定年龄的差别。 老翁：那规定了什么？ 姑娘：妻子有继承丈夫遗产的权利,禁忌\秘密揭露,意想不到的答案
施莱艾尔马赫（1768--1834年），德国哲学家和神学家，他的神职工作做得尤其出色。有人称颂他和他的布道具有少有的广泛性，他的教义宣讲能吸引社会各个阶层的广大听众，不仅有大学生，还有妇女和各级官员。对此，施莱艾尔马赫解释说：我的听众确实由学生、妇女和官员组成，学生们来是为了听我讲道，女人们来是为了看学生，而官员们来则是为了看女人,讽刺,意想不到的答案
有一位大学老师给同学们上论理课，他同学们说：你们是大学生了，说话一定要婉转，比如说你看到一位女生的屁股上有一根草，你要对她说草在她的肩上，这样她顺着肩往下看自然就看见屁股上的草了。 正在这时有一位女生站起来对他说：老师你领带上的拉链开了,禁忌\秘密揭露,意外出糗
一农夫带着老婆和三个孩子进城去。在公路上拦了辆的士。 问司机：到城里要多少钱。 司机说：大人每人一百，小孩子免费。 农夫冲着他的道：孩子们你们坐的士去吧，我和你妈坐公交车来,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
老师带小学生们到动物园游玩，乘机告诉小学生们要爱护动物，并问他们以前是否做过爱护动物的事。 一个小学生很快地回答：“我曾经踢过一个小孩，因为他踢了他的狗。,桥界推论,意想不到的答案
奶奶，你会死吗？ 当然要死的。 要把你埋在地里么？ 是的！ 哈，那时我们可以随便玩你的缝纫机了吧,桥界推论,意想不到的答案
幼儿园门口见两个小孩子聊天， 小女孩问小男孩：“有什么是你不会的吗？” 小男孩羞涩地说：“我不会离开你。” 「那你有什么不会的吗？」小男孩充满期待地问。 小女孩腼腆地笑了笑，说，「我不会喜欢你。,⽂字游戏,意想不到的答案
姊姊有三个孩子。有天晚上，她和最小的女儿一起看电视。电视上正播映家庭计划的宣传短片，一再强调：「两个孩子恰恰好！」姊姊偷偷地看了看坐在旁边的老么，担心这句话可能伤害她的感情。小女儿突然问她的妈妈：「妈妈，我们家哪一个是多余的，大哥还是二哥？」,桥界推论,意想不到的答案
老师，您说地球每时每刻都在转动，我一点感觉都没有。可我爸爸说，他有时候能感觉到。 哦？你爸爸是怎么感觉的？ 每当他酒喝多了的时候,禁忌\秘密揭露,意想不到的答案
有一天，小珍和邻居的小孩们在一起玩，忽然跌伤了右腿，鲜血淋漓的跑回家！妈妈：「哎呀！怎么啦？」小珍：「跌伤右腿！」妈妈：「痛不痛啊？」小珍：「好痛！」妈妈：「唷！孩子！当你跌倒的时候，你有没有哭？」小珍：「没有哭！」停了一停，又说：「妈妈不在那儿，我哭给谁听呢？」,禁忌\秘密揭露,意想不到的答案
在教完《卖火柴的小女孩》一文后，老师给同学们布置了一篇作文：请你代卖火柴的小女孩给她的妈妈写一封信。 几天以后，大部分同学都交上了自己的作文，只有李龙没交。老师问他为什么，他说：卖火柴的小女孩没钱寄信,禁忌\秘密揭露,意想不到的答案
老师问一位一年级学生：有一种动物有两只脚，每天早上太阳公公出来时，它都会叫你起床，而且叫到你起床为止，是哪种动物呀？ 是妈妈,禁忌\秘密揭露,意想不到的答案
一只皮球破窗而入，进了穆勒太太的厨房。不久，一个小孩按门铃说：爸爸一会儿就来给您装新玻璃。 果然不错，一个男人走上台阶。穆勒太太把皮球还给了那孩子，孩子走了。 那人把玻璃换好了，说：10块钱。 什么？你不是他的爸爸？穆勒太太问。 怎么？你不是他的妈妈,其他,搞错重点或是误会情节
教授在课堂上提问：“‘不自由，宁为死’这句话是谁说的？” 教室里一片寂静，隔了一会儿，才有人用熟练的日语答道 ： “1777年，巴特利·亨利说的。” “对，同学们，刚才回答问题的是日本学生，你们生长在美国的回答不出来 而来自日本的学生却能回答，多可怜啊 ！” “把日本人干掉！”教室后面有人说。 “谁，这是谁说的？”教授忙问。 “1945年，杜鲁门总统说的。,桥界推论,另有含义
某地要建一个游泳池，媒体们纷纷动员大家捐款。 女记者对一位老大爷说到：“大爷，您打算捐多少？” 老大爷斩钉截铁地说：“我捐两桶水吧！,无逻辑和矛盾,搞错重点或是误会情节
昨晚阿明和老婆看电视，突然手机响了一下，一看是有人发LINE，正准备打开看，没想到被老婆一把抢了过去，打开一看，是公司秘书(女的)发的：「赵总，我怀孕了。」老婆一下就爆炸了！阿明还没来得及说话，老婆一巴掌就上来了，紧接著开口就骂，过程太惨烈，不赘述。约过了一分钟，秘书又发来一条：「明天和我男朋友去见父母，不好意思想请假，还烦望批准…」,禁忌\秘密揭露,搞错重点或是误会情节
教师对王振华道：你手太脏了，像什么样子？倘使我手上如此，到学校里来，你见了，以为怎样？ 王振华道：我深知礼节，决不敢评论他人,讽刺,另有含义
接一个电话说是我领导，要我打5万块钱救急。我说，马上打钱！睡一觉后，又来电话了，问怎么还没打钱。我说急着出来，忘带钱了，只带了两张卡，有钱的那张消磁了，另一张卡没钱。重新办卡要五百块钱，你给我先打五百块重办卡行不？他听了沉默很久，最后说，咱同行何必为难同行啊。,禁忌\秘密揭露,意想不到的答案
一天，大卫做完魔术show出来，被一人拦途截劫。贼人拿出手枪指著大卫要他将钱拿出来，大卫魔眼一闪，将其手枪变走，贼人再从袋中拿出小刀，大卫也将它变走，贼人心有不甘，正想掏衣袋之时，大卫说：「你再拿甚么出来我都会将它变走。」但贼人岂会罢休，再拿出剪刀指吓，可惜大卫魔术高超，眨眼间剪刀也消失了。贼人见势色不对，急忙逃走.....贼人边跑边说：「今天真倒霉，碰著个臭魔术师，连讨饭工具都给变走了，小个便再算.....疑！？疑！！！？？？」,桥界推论,另有含义
一个美国旅行者于南部一州的街道上和一个上了年纪的黑人闲谈。「你以前曾经是奴隶吗？」他询问著说。「是的，先生。」黑人回答。「然而，你在战后获得自由了。」绅士继续说。但是这老年黑人很悲伤地摇头说：「不，先生。」他沉重地说：「并不尽然，先生，我并没有获得充分的自由，因为在战后——我结婚了！」,桥界推论,另有含义
男子算命，算命先生说：「你是两个孩子的爸爸。」男子生气的说：「你就是个骗钱的，我明明是三个孩子的爸爸。」算命先生微微一笑：「你确定？」,桥界推论,另有含义
有一架飞机快要坠毁，但是飞机上的降落伞少了一个。于是飞机上的人都抢着跳伞，跳到最后只剩下三个人，一个逃犯，一位老教授，还有一名学生。那个逃犯说我还有很多事没做，我不能死，于是他背个包就跳下去了。 那个教授就对那个学生说：你还年轻还有一个降落伞你跳下去吧。学生说没关系的，现在还有两个降落伞，因为刚才哪个家伙背的是我的旅行包,禁忌\秘密揭露,意想不到的答案
有一位拳击手在第二回合挨了一击之后，头昏眼花。「在第一回合我确实把那家伙吓坏了，」他沾沾自喜道：「他怕他会把我打死。」,桥界推论,意想不到的答案
LZ小文书一枚，今天看见一新CASE的材料，学生居然叫：吴所谓。当时就在想这孩子爹妈取名字也太随意点了吧，结果往上一扫他爹的名字：吴辽。得，我错了，不怪孩子他爹，名儿应该是爷爷起的！,⽂字游戏,意想不到的答案
动物园的管理员站在张开血盆大嘴的鳄鱼前面，一个劲地往他嘴里看。过路的游客问：「鳄鱼怎么了？」管理员道：「还不清楚。医生到他嘴里去了后，已有半小时没有出来了。」,桥界推论,另有含义
丈夫：为什么你妈妈每年过生日，咱俩都要给她四百元钱呢？ 妻子：那是应该的，我妈把她的“千金”给了你，这四百元是每年的利息。 丈夫：那我妈也把我这个“二百五”给了你呢，每年你多少也应该给点利息吧？? 妻子：你搞错了，我们家是存款方，而你们家是贷款方,⽂字游戏,另有含义
某军首长发表处理好官兵关系的讲话，稿子乃由秘书写成。在一页纸快念完时，首长曰：军官要爱护士。 场下一片大哗。首长亦觉奇怪，遂翻下页，大声补充曰：这里还有一个兵,⽂字游戏,意想不到的答案
一个人打电话给出租汽车公司，抱怨说他预约的到金斯福特机场的车还没来。接电话的小姐说：真对不起，先生！不过你也不必过于担心，因为飞机总是误点的！ 你说得对，小姐。打电话的人说，我就是这一班飞机的正驾驶员,类比,意想不到的答案
餐后，一位顾客把饭店老板叫过来。 先生，祝贺您，您这儿的厨房很讲卫生啊！ 多谢，先生我尽力而为。但是，我请教，您不曾参观过我的厨房，怎么好夸这里很卫生呢？ 噢，很简单。我刚在这儿吃的一切都有肥皂味,禁忌\秘密揭露,另有含义
助手跑进院长办公室激动地说：“院长！简直是疯人院里的奇迹！保罗居然救了同病房的吉米一命！” “噢？怎么回事儿？”院长问道。 “刚才吉米想在浴盆里淹死自己，是保罗硬把他拖出来的。”助手解释道。 院长很高兴：“看来保罗已经恢复正常了，快带他来见我！” 不一会儿，保罗来到院长办公室。 “保罗，从你的表现来看，你已经完全恢复正常了，你做了一件非常英雄的事情，明天你就可以出院了。”院长语重心长地说道。 这时，助手又慌慌张张地跑进办公室：“不好了，吉米又在卫生间上吊了！” “这个自杀狂！”院长嘟哝道。 “他没上吊，我只是想把他晾干。”保罗插嘴说道,禁忌\秘密揭露,荒诞或是愚蠢的行径\话语\情况
三个南部的牧师在一家小餐馆里吃午饭。其中的一个说道：「你们知道吗？自从夏天来临，我的教堂的阁楼和顶楼就被蝙蝠骚扰，我用尽了一切办法一噪音、喷雾、猫一似乎什么都不能把牠们赶走。」另外一位说：「是啊，我也是。在我的钟楼和阁楼也有好几百只，我曾经请人把整个地方用烟熏消毒一遍，也赶不走。」第三个牧师说：「我为我那里的所有蝙蝠洗礼，让牠们成为教会的一员.........从此啊！连一只也没有再回来过。」,转化,意想不到的答案
话说有天下午上课，雷电交加，风大雨急的，天气恶劣，逃课的同学不在少数。 老师进到教室慢悠悠说道：今天这样糟糕的天气，还有那么多同学来听我的课，不胜感激……无以为报，点个名吧,讽刺,另有含义
一天，豆豆去他表弟家做客，他最不愿意听表弟弹琴了，等表弟弹完一支曲子问豆豆：我弹得怎么样？ 豆豆回答说：我觉得你应该上电视。 表弟高兴地说：你的意思是说我弹得很不错了！ 不，豆豆说：你要是上了电视，我就可以把它关掉了,讽刺,另有含义
两个七、八岁的小兄弟决定凑钱买玩具。七凑八凑之下凑了一百块钱。弟弟问道：「一百块钱可以买什么呢？」哥哥回答：「我想，我们去买卫生棉好了！」弟弟又问：「卫生棉有什么好玩的？」哥哥回答：「卫生棉可好玩了，你没看电视上说，有了它！就可以爬山、滑水、打球、溜冰，自由快乐没烦恼——」,桥界推论,搞错重点或是误会情节
一日，历史老师正在上课，正好提到拿破仑。看到台下每天打瞌睡的学生，老师不由得感慨地说：「各位同学，拿破仑一天只睡三个小时，你们从这里得到什么启示呢？」小强答：「睡眠不足会长不高。」,禁忌\秘密揭露,意想不到的答案
刚从门口进来（门是感应的那种），一正太哭得很伤心。 我问：“小朋友，哭什么呀？” “妈妈说那门看到人会、会……自动打开，可是我来了它不来，呜呜，我不是人！” 然后他爸爸急了说：“门没眼睛的，你妈妈乱说” 正太哭得更起劲了“没眼睛都知道我不是人！” 四周爆笑啊！,⽂字游戏,意想不到的答案
小明：「爸，我问你，如果我考一百分你会怎样？」爸爸：「当然是高兴死了阿」小明：「(含情脉脉)爸我不会让你死的。」爸爸：「……」,桥界推论,另有含义
亚珍去参观电脑展，当行到世界知名大厂3M的摊位前，突然听到两个中学生的对话。甲：「这一家一定是骗人的。」乙：「你怎么知道呢？」甲：「磁碟的容量明明只有1.2M或1.44M两种，何来3M呢？」亚玲刚想开口说话，隔邻又有个小朋友说：「爸爸，真的有三米长的磁碟吗？」,⽂字游戏,搞错重点或是误会情节
一日欲开车带三岁的侄儿出去玩，不料他渴望的眼神驻留于一瓶还未扔掉的矿泉水上。 我忙说：“这水不能喝，已经过期了。”他不解地望着我。 我解释：“这过期的水，就是水放太久了，里面就长虫子了。你喝了这水会肚子痛的哦。” 他歪着头想了想，“那过六的水呢？,⽂字游戏,搞错重点或是误会情节
夏天的时候，同学们都喜欢到河边玩水，一群人玩得不亦乐乎，只有一位女同学小美一脸无奈的坐在河边看著河水，他的同学阿德跑来问他，以下是他们的对话...阿德：「小美，怎么不跟我们一起玩呢？」小美指著河水一脸无辜的说：「你看！好危险！」阿德：「水并不会很深，很安全的。」小美：「不是啦！你看水面有蝌蚪...」阿德笑著说：「现在是夏天，水面当然会有蝌蚪，放心蝌蚪不会咬你的。」小美很紧张地说：「不行！危险，蝌蚪很危险...」阿德问：「蝌蚪很危险？为什么？」小美低下头小声的说：「课本有教...会怀孕」阿德闻言昏倒。,无逻辑和矛盾,搞错重点或是误会情节
题目：况且小朋友：一辆火车经过，况且况且况且况且．．．．．老师：……………,⽂字游戏,搞错重点或是误会情节
某日小明到KTV唱歌，点了一首游鸿明的梦婆汤， 等了好久都不出来，于是小明便按服务铃。 新来的服务生一进来，很有礼貌：“先生有什么需要为您服务？” 小明：“我点的梦婆汤都怎么还没来？” 服务生：“好，先生我帮你去操作间催一下！,⽂字游戏,另有含义
我有一张公交公司员工的免费卡，把卡往车上的读卡器上一照，显示的是卡号。我的免费卡号是86262。那天，我上了公交车，后面跟上来两个学生。我把免费卡往车上的读卡器上照，就听见一名学生大叫：“8万多块钱呢，什么时候才能坐完呀！” 另一名学生用手捅了一下说话的学生，并附在其耳边轻声说：“小声点儿，能够充8万多元挤公交车的人，脑子肯定有毛病！,讽刺,搞错重点或是误会情节
小成坐在小车上，一乞丐前来要钱，小成给他一支烟，乞丐不要，小成给他一瓶酒，乞丐不要，小成说我带你去打牌，乞丐不要，小成说我带你去按摩，乞丐又不要，乞丐说我要钱，小成说，走，上车，我带你去我家，让我老婆看看，一个不抽烟，不喝酒，不赌博，不按摩的男人混成啥样,讽刺,意想不到的答案
一个人上厕所，隔壁厕所里已有一位女子，她偶然丢了手纸，很为难，只好说：「谁能给我手纸用，我情愿嫁给他。」这边这位男子听到了，便把自己的纸从墙壁缝里塞过去，给了女子。女子接了纸用过后扬长而去。这边的男子叹道：「亲事虽然定下了，可这一屁股债，却怎么用得干净？」,⽂字游戏,意想不到的答案
小胖和他哥去吃自助烤肉， 吃一半的时候，他哥看着小胖幽幽的说一句：“都20了阿…… ” 小胖当时也感慨：“可不是咋的 我还老能想起来我小时候的事呢。” 他哥说：“我是说，你都吃20盘了啊！,禁忌\秘密揭露,搞错重点或是误会情节
我丈夫在国外出差期间，我们四岁的女儿想要一个小弟弟。「是个好主意，」我对她说，「但是，你不认为应该等到你爸爸回来吗？」她的想法更酷。「为什么我们不能给他一个惊喜呢？」,无逻辑和矛盾,意想不到的答案
本人每天都要喝一瓶牛奶，所以每隔一段时间都要去超市买一箱牛奶的。 有一次牛奶喝完了，就到超市去买，刚好碰到一个我同学，女的，她看到我，就和我打了一声招呼：买东西？ 我想也没想就回答：断奶了,禁忌\秘密揭露,另有含义
